x;y;z
1;3661;zero
2;3661;zero
3;3661;zero
4;3661;zero
5;3661;zero
6;3661;zero
7;3661;zero
8;3661;zero
9;3661;zero
10;3661;zero
11;3661;zero
12;3661;zero
13;3661;zero
14;3661;zero
15;3661;zero
16;3661;zero
17;3661;zero
18;3661;zero
19;3661;zero
20;3659;zero
21;3640;zero
22;3641;zero
23;3643;zero
24;3643;zero
25;3646;zero
26;3650;zero
27;3650;zero
28;3651;zero
29;3654;zero
30;3655;zero
31;3657;zero
32;3658;zero
33;3659;zero
34;3659;zero
35;3660;zero
36;3661;zero
37;3661;zero
38;3663;zero
39;3663;zero
40;3663;zero
41;3664;zero
42;3664;zero
43;3664;zero
44;3664;zero
45;3665;zero
46;3666;zero
47;3666;zero
48;3666;zero
49;3666;zero
50;3668;zero
51;3668;zero
52;3669;zero
53;3669;zero
54;3670;zero
55;3672;zero
56;3672;zero
57;3672;zero
58;3673;zero
59;3673;zero
60;3673;zero
61;3673;zero
62;3675;zero
63;3675;zero
64;3676;zero
65;3677;zero
66;3677;zero
67;3677;zero
68;3678;zero
69;3678;zero
70;3680;zero
71;3680;zero
72;3680;zero
73;3680;zero
74;3680;zero
75;3681;zero
76;3682;zero
77;3682;zero
78;3683;zero
79;3683;zero
80;3683;zero
81;3683;zero
82;3683;zero
83;3683;zero
84;3684;zero
85;3684;zero
86;3684;zero
87;3684;zero
88;3684;zero
89;3684;zero
90;3685;zero
91;3685;zero
92;3685;zero
93;3685;zero
94;3686;zero
95;3686;zero
96;3686;zero
97;3686;zero
98;3686;zero
99;3686;zero
100;3686;zero
1;3386;two
2;3387;two
3;3387;two
4;3387;two
5;3387;two
6;3387;two
7;3387;two
8;3387;two
9;3387;two
10;3387;two
11;3387;two
12;3387;two
13;3387;two
14;3387;two
15;3387;two
16;3387;two
17;3388;two
18;3388;two
19;3388;two
20;3390;two
21;3391;two
22;3393;two
23;3393;two
24;3394;two
25;3396;two
26;3396;two
27;3398;two
28;3398;two
29;3400;two
30;3400;two
31;3401;two
32;3402;two
33;3404;two
34;3404;two
35;3406;two
36;3406;two
37;3406;two
38;3408;two
39;3408;two
40;3409;two
41;3409;two
42;3411;two
43;3411;two
44;3411;two
45;3412;two
46;3412;two
47;3412;two
48;3413;two
49;3414;two
50;3414;two
51;3415;two
52;4119;two
53;4120;two
54;4122;two
55;4122;two
56;4122;two
57;4124;two
58;4124;two
59;4124;two
60;4124;two
61;4124;two
62;4124;two
63;4125;two
64;4125;two
65;4125;two
66;4126;two
67;4126;two
68;4126;two
69;4126;two
70;4126;two
71;4126;two
72;4126;two
73;4127;two
74;4127;two
75;4127;two
76;4127;two
77;4127;two
78;4127;two
79;4127;two
80;4127;two
81;4128;two
82;4128;two
83;4128;two
84;4129;two
85;4129;two
86;4129;two
87;4129;two
88;4129;two
89;4129;two
90;4129;two
91;4130;two
92;4130;two
93;4130;two
94;4130;two
95;4130;two
96;4130;two
97;4130;two
98;4130;two
99;4131;two
100;4131;two
1;3389;three
2;3435;three
3;3435;three
4;3435;three
5;3435;three
6;3435;three
7;3435;three
8;3435;three
9;3435;three
10;3435;three
11;3435;three
12;3435;three
13;3435;three
14;3435;three
15;3435;three
16;3435;three
17;3435;three
18;3387;three
19;3390;three
20;3390;three
21;3390;three
22;3390;three
23;3390;three
24;3390;three
25;3390;three
26;3390;three
27;3390;three
28;3390;three
29;3390;three
30;3390;three
31;3390;three
32;3390;three
33;3390;three
34;3392;three
35;3392;three
36;3401;three
37;3407;three
38;3409;three
39;3410;three
40;3415;three
41;3415;three
42;4214;three
43;4214;three
44;4215;three
45;4215;three
46;4216;three
47;4216;three
48;4217;three
49;4217;three
50;4217;three
51;4217;three
52;4220;three
53;4220;three
54;4220;three
55;4221;three
56;4221;three
57;4221;three
58;4222;three
59;4222;three
60;4222;three
61;4222;three
62;4222;three
63;4223;three
64;4223;three
65;4223;three
66;4224;three
67;3418;three
68;3418;three
69;3419;three
70;3419;three
71;3419;three
72;3420;three
73;3420;three
74;3420;three
75;3420;three
76;3422;three
77;3422;three
78;3424;three
79;3424;three
80;3425;three
81;3425;three
82;3412;three
83;3412;three
84;3412;three
85;3413;three
86;3413;three
87;3413;three
88;3413;three
89;3413;three
90;3413;three
91;3413;three
92;3413;three
93;3413;three
94;3413;three
95;3413;three
96;3413;three
97;3413;three
98;3413;three
99;3413;three
100;3413;three
